Sr. No,Description,UOM,TOTAL Qty in Length / Nos,UNIT PRICE,TOTAL PRICE
13,50X50 MM CABLE TRUNKING 45 DEGREE BEND,NOS,20,9.33,186.6
14,100X100 MM CABLE TRUNKING 02 COMPARTMENT 45 DEGREE BEND,NOS,10,15.94,159.4
15,150X100 MM CABLE TRUNKING 02 COMPARTMENT 45 DEGREE BEND,NOS,10,18.66,186.6
16,150X150 MM CABLE TRUNKING 90 DEGREE BEND,NOS,20,9.1,182
17,100X100 MM CABLE TRUNKING 90 DEGREE BEND,NOS,100,10.89,1089
18,50X50 MM CABLE TRUNKING 90 DEGREE BEND,NOS,20,6.85,137
19,100X100 MM CABLE TRUNKING 02 COMPARTMENT 90 DEGREE BEND,NOS,10,21.770000000000003,217.70000000000005
20,150X100 MM CABLE TRUNKING 02 COMPARTMENT 90 DEGREE BEND,NOS,10,18.200000000000003,182.00000000000003
21,150X150MM TO 100X100 MM CABLE TRUNKING REDUCER,NOS,20,12.64,252.8
22,150X100MM TO 100X100 MM CABLE TRUNKING REDUCER,NOS,20,8.75,175
23,100X100MM TO 50X50 MM CABLE TRUNKING REDUCER,NOS,20,7.779999999999999,155.6
24,150X150X100 CABLE TRUNKING UNEQUAL TEE,NOS,100,12.049999999999999,1205
25,100X100X50 CABLE TRUNKING UNEQUAL TEE,NOS,100,8.75,875
26,100x50x50 CABLE TRUNKING UNEQUAL TEE,NOS,100,8.17,817
27,150X150X100X100 SQUARE TEE,NOS,50,12.129999999999999,606.5
28,150X150X150X100 SQUARE TEE,NOS,50,16.020000000000003,801.0000000000001
29,150X150 MM CABLE TRUNKING COUPLER,NOS,200,2.92,584
30,100X100 MM CABLE TRUNKING COUPLER,NOS,2500,2.53,6324.999999999999
31,50X50 MM CABLE TRUNKING COUPLER,NOS,200,2.34,468
32,100X100 MM CABLE TRUNKING 02 COMPARTMENT – COUPLER,NOS,200,2.53,505.99999999999994
33,150X100 MM CABLE TRUNKING 02 COMPARTMENT – COUPLER,NOS,200,2.92,584
34,150X150 MM CABLE TRUNKING EXPANSION COUPLER,NOS,20,3.3099999999999996,66.19999999999999
35,150X150 MM CABLE TRUNKING EXPANSION COUPLER,NOS,100,3.11,311
36,100X100 MM CABLE TRUNKING EXPANSION COUPLER,NOS,20,2.92,58.4
37,50X50 MM CABLE TRUNKING EXPANSION COUPLER,NOS,20,2.73,54.6
38,100X100 MM CABLE TRUNKING 02 COMPARTMENT – EXPANSION COUPLER,NOS,20,3.3099999999999996,66.19999999999999
39,150X100 MM CABLE TRUNKING 02 COMPARTMENT – EXPANSION COUPLER,NOS,20,3.11,62.199999999999996
40,EARTH CONTINUITY CONNECTOR 100MM LENGTH,NOS,5000,1.57,7850
,TOTAL AED,,,,475084.68000000017
